
============================================================
worker start: convThresh=1.0 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: convThresh
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: Convergence Threshold (convThresh)

[Config 1/1] convThresh=1 on 25x25
  [convThresh=1 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 20/100: OK (time=2.1805s)
    Rep 21/100: OK (time=5.9659s)
    Rep 22/100: OK (time=2.0612s)
    Rep 23/100: OK (time=1.0657s)
    Rep 24/100: OK (time=2.6129s)
    Rep 25/100: OK (time=0.8970s)
    Rep 26/100: OK (time=11.9189s)
    Rep 27/100: OK (time=2.2850s)
    Rep 28/100: OK (time=2.4131s)
    Rep 29/100: OK (time=7.9958s)
    Rep 30/100: OK (time=3.7025s)
    Rep 31/100: OK (time=1.5464s)
    Rep 32/100: OK (time=1.5485s)
    Rep 33/100: OK (time=2.4402s)
    Rep 34/100: OK (time=1.5406s)
    Rep 35/100: OK (time=1.1209s)
    Rep 36/100: OK (time=1.9153s)
    Rep 37/100: OK (time=1.5226s)
    Rep 38/100: OK (time=3.1523s)
    Rep 39/100: OK (time=5.9910s)
    Rep 40/100: OK (time=8.5549s)
    Rep 41/100: OK (time=12.7826s)
    Rep 42/100: OK (time=2.7673s)
    Rep 43/100: OK (time=10.2057s)
    Rep 44/100: OK (time=2.8735s)
    Rep 45/100: OK (time=0.6010s)
    Rep 46/100: OK (time=15.0958s)
    Rep 47/100: OK (time=7.5223s)
    Rep 48/100: OK (time=3.5171s)
    Rep 49/100: OK (time=6.0742s)
    Rep 50/100: OK (time=13.5029s)
    Rep 51/100: OK (time=4.8110s)
    Rep 52/100: OK (time=8.2238s)
    Rep 53/100: OK (time=4.1596s)
    Rep 54/100: OK (time=3.7940s)
    Rep 55/100: OK (time=2.9725s)
    Rep 56/100: OK (time=8.8891s)
    Rep 57/100: OK (time=0.4811s)
    Rep 58/100: OK (time=4.2547s)
    Rep 59/100: OK (time=2.8853s)
    Rep 60/100: OK (time=11.1875s)
    Rep 61/100: OK (time=0.5755s)
    Rep 62/100: OK (time=3.6263s)
    Rep 63/100: OK (time=1.3301s)
    Rep 64/100: OK (time=19.9230s)
    Rep 65/100: OK (time=9.3845s)
    Rep 66/100: OK (time=11.8347s)
    Rep 67/100: OK (time=10.1096s)
    Rep 68/100: OK (time=9.8942s)
    Rep 69/100: OK (time=17.4934s)
    Rep 70/100: OK (time=13.5087s)
    Rep 71/100: OK (time=10.7296s)
    Rep 72/100: OK (time=4.3019s)
    Rep 73/100: OK (time=5.2798s)
    Rep 74/100: OK (time=0.1461s)
    Rep 75/100: OK (time=1.4398s)
    Rep 76/100: OK (time=17.1990s)
    Rep 77/100: OK (time=13.2719s)
    Rep 78/100: OK (time=8.7585s)
    Rep 79/100: OK (time=6.9732s)
    Rep 80/100: OK (time=7.1427s)
    Rep 81/100: OK (time=3.5319s)
    Rep 82/100: OK (time=4.0316s)
    Rep 83/100: OK (time=3.7541s)
    Rep 84/100: OK (time=1.9718s)
    Rep 85/100: OK (time=1.2244s)
    Rep 86/100: OK (time=6.7939s)
    Rep 87/100: OK (time=17.6131s)
    Rep 88/100: OK (time=7.7987s)
    Rep 89/100: OK (time=2.3926s)
    Rep 90/100: OK (time=4.9857s)
    Rep 91/100: OK (time=3.6891s)
    Rep 92/100: OK (time=1.5196s)
    Rep 93/100: OK (time=3.2409s)
    Rep 94/100: OK (time=4.3644s)
    Rep 95/100: OK (time=3.2969s)
    Rep 96/100: OK (time=0.4836s)
    Rep 97/100: OK (time=2.5820s)
    Rep 98/100: OK (time=4.6028s)
    Rep 99/100: OK (time=4.2949s)
    Rep 100/100: OK (time=8.6286s)
    => success%=100.0 time_mean=5.718533 cycles_mean=220.4
  [convThresh=1 [25x25]] (6/50) inst25x25_45_1.txt 
