
============================================================
worker start: entropyPct=97.125 size=25 worker_id=0/2
============================================================
======================================================================
Ablation Study for CP-DCM-ACO
Parameters to test: entropyPct
Puzzle sizes: 25x25
Repetitions per instance: 100
Total configurations: 1
Output directory: results\ablation
======================================================================

======================================================================
Puzzle size: 25x25
======================================================================

  Parameter: Entropy Threshold (% of Max Entropy) (entropyPct)

[Config 1/1] entropyPct=97.125 on 25x25
  [entropyPct=97.125 [25x25]] (1/50) inst25x25_40_10.txt 
    Rep 21/100: FAIL (time=121.1580s)
    Rep 22/100: FAIL (time=121.3290s)
    Rep 23/100: OK (time=87.1002s)
    Rep 24/100: OK (time=9.5353s)
    Rep 25/100: OK (time=15.7776s)
    Rep 26/100: OK (time=2.7702s)
    Rep 27/100: FAIL (time=121.6870s)
    Rep 28/100: OK (time=91.8018s)
    Rep 29/100: OK (time=2.9931s)
    Rep 30/100: OK (time=22.6577s)
    Rep 31/100: OK (time=52.2511s)
    Rep 32/100: FAIL (time=120.8110s)
    Rep 33/100: FAIL (time=121.5180s)
    Rep 34/100: OK (time=4.6418s)
    Rep 35/100: OK (time=4.4422s)
    Rep 36/100: OK (time=15.1290s)
    Rep 37/100: FAIL (time=121.9720s)
    Rep 38/100: FAIL (time=120.2880s)
    Rep 39/100: OK (time=28.7709s)
    Rep 40/100: FAIL (time=120.7430s)
    Rep 41/100: OK (time=30.4069s)
    Rep 42/100: FAIL (time=120.0860s)
    Rep 43/100: OK (time=23.3657s)
    Rep 44/100: FAIL (time=120.7170s)
    Rep 45/100: OK (time=15.7192s)
    Rep 46/100: OK (time=19.8400s)
    Rep 47/100: FAIL (time=120.7070s)
    Rep 48/100: OK (time=52.5704s)
    Rep 49/100: FAIL (time=120.5440s)
    Rep 50/100: OK (time=34.4438s)
    Rep 51/100: OK (time=45.7590s)
    Rep 52/100: OK (time=14.4324s)
    Rep 53/100: OK (time=19.0377s)
    Rep 54/100: OK (time=19.4487s)
    Rep 55/100: OK (time=5.4614s)
    Rep 56/100: FAIL (time=121.0350s)
    Rep 57/100: FAIL (time=121.5800s)
    Rep 58/100: FAIL (time=120.9390s)
    Rep 59/100: FAIL (time=121.1260s)
    Rep 60/100: FAIL (time=121.4300s)
    Rep 61/100: OK (time=15.3849s)
    Rep 62/100: OK (time=31.1162s)
    Rep 63/100: OK (time=18.4176s)
    Rep 64/100: OK (time=5.9329s)
    Rep 65/100: FAIL (time=121.1420s)
    Rep 66/100: OK (time=57.9811s)
    Rep 67/100: FAIL (time=120.7430s)
